sys;c1;c2;c1(DDB);c2(DDB);type;null_dsp
4491;METHYL_N-BUTYL_ETHER;Perfluorohexane;Methyl butyl ether;Perfluorohexane;;
4492;METHYL_N-BUTYL_ETHER;Perfluoro-n-octane;Methyl butyl ether;Perfluoro-n-octane;;
4500;AMMONIA;PROPANE;Ammonia;Propane;;
4501;AMMONIA;DICHLORODIFLUOROMETHANE;Ammonia;Dichlorodifluoromethane [R12];;
4502;AMMONIA;1-PENTENE;Ammonia;1-Pentene;;
4503;AMMONIA;2-METHYL-2-BUTENE;Ammonia;2-Methyl-2-butene;;
4504;AMMONIA;2-METHYL-1-BUTENE;Ammonia;2-Methyl-1-butene;;
4505;AMMONIA;O-XYLENE;Ammonia;o-Xylene;;
4506;AMMONIA;CUMENE;Ammonia;Isopropylbenzene;;
4507;AMMONIA;1,3-BUTADIENE;Ammonia;1,3-Butadiene;;
4508;AMMONIA;2,3-DIMETHYLBUTANE;Ammonia;2,3-Dimethylbutane;;
4509;AMMONIA;1-BUTENE;Ammonia;1-Butene;;
4510;AMMONIA;N-PROPYLBENZENE;Ammonia;Propylbenzene;;
4511;AMMONIA;2,2-DIMETHYLBUTANE;Ammonia;2,2-Dimethylbutane;;
4512;AMMONIA;P-CYMENE;Ammonia;4-Isopropyltoluene;;
4513;AMMONIA;N-NONANE;Ammonia;Nonane;;
4514;AMMONIA;ETHYLCYCLOHEXANE;Ammonia;Ethylcyclohexane;;
4515;AMMONIA;TRANS-2-BUTENE;Ammonia;trans-2-Butene;;
4516;AMMONIA;ISOBUTENE;Ammonia;Isobutylene;;
4517;AMMONIA;CIS-2-BUTENE;Ammonia;cis-2-Butene;;
4518;AMMONIA;MESITYLENE;Ammonia;1,3,5-Trimethylbenzene;;
4519;AMMONIA;N-HEXADECANE;Ammonia;Hexadecane;;
4520;AMMONIA;1,2,4-TRIMETHYLBENZENE;Ammonia;1,2,4-Trimethylbenzene;;
4521;AMMONIA;N-UNDECANE;Ammonia;n-Undecane;;
4523;AMMONIA;ETHYLCYCLOPENTANE;Ammonia;Ethylcyclopentane;;
4524;AMMONIA;ISOPROPYLCYCLOPENTANE;Ammonia;Isopropylcyclopentane;;
4526;AMMONIA;INDANE;Ammonia;Indane  <Hydrindene>;;
4527;AMMONIA;ETHANE;Ammonia;Ethane;;
4528;AMMONIA;PROPYLENE;Ammonia;Propylene;;
4531;AMMONIA;2,4,4-TRIMETHYL-2-PENTENE;Ammonia;2,4,4-Trimethyl-2-pentene;;
4532;AMMONIA;3,3,5-TRIMETHYLHEPTANE;Ammonia;3,3,5-Trimethylheptane;;
4548;Perfluoropentane;2,3-DIMETHYLBUTANE;Perfluoropentane;2,3-Dimethylbutane;;
4549;Perfluoropentane;2,2-DIMETHYLBUTANE;Perfluoropentane;2,2-Dimethylbutane;;
4552;N-METHYLFORMAMIDE;N-HEXADECANE;N-Methylformamide;Hexadecane;;
4554;N,N-DIMETHYLACETAMIDE;CYCLOOCTANE;N,N-Dimethylacetamide;Cyclooctane;;
4555;N,N-DIMETHYLACETAMIDE;N-NONANE;N,N-Dimethylacetamide;Nonane;;
4557;GLYCEROL;N-OCTADECANOIC_ACID;Glycerol;Stearic acid;;
4558;GLYCEROL;3-METHYL-1-BUTANOL;Glycerol;3-Methyl-1-butanol;;
4559;GLYCEROL;N-HEXANOIC_ACID;Glycerol;Hexanoic acid;;
4560;GLYCEROL;N-OCTANOIC_ACID;Glycerol;Caprylic acid;;
4561;GLYCEROL;THIOPHENE;Glycerol;Thiophene;;
4562;GLYCEROL;1-HEXANOL;Glycerol;1-Hexanol;;
4563;GLYCEROL;O-XYLENE;Glycerol;o-Xylene;;
4564;GLYCEROL;N-METHYLANILINE;Glycerol;N-Methylaniline;;
4565;GLYCEROL;1-OCTANOL;Glycerol;1-Octanol;;
4566;GLYCEROL;N-DODECANOIC_ACID;Glycerol;Lauric acid;;
4567;GLYCEROL;METHYL_DODECANOATE;Glycerol;Methyl laurate;;
4568;GLYCEROL;Octadecanoic_acid_methyl_ester;Glycerol;Methyl stearate;;
4569;GLYCEROL;ACETOPHENONE;Glycerol;Acetophenone;;
4570;GLYCEROL;ISOBUTYL_ACETATE;Glycerol;Isobutyl acetate;;
4571;GLYCEROL;ISOPROPYL_ACETATE;Glycerol;Acetic acid isopropyl ester;;
4572;GLYCEROL;Hexanoic_acid_methyl_ester;Glycerol;Hexanoic acid methyl ester;;
4573;GLYCEROL;Octanoic_acid_methyl_ester;Glycerol;Octanoic acid methyl ester;;
4574;GLYCEROL;DIMETHYL_CARBONATE;Glycerol;Carbonic acid dimethyl ester;;
4575;GLYCEROL;1-DODECANOL;Glycerol;1-Dodecanol;;
4577;GLYCEROL;O-TOLUIDINE;Glycerol;o-Methylaniline;;
4578;GLYCEROL;METHYL_OLEATE;Glycerol;Methyl oleate;;
4579;GLYCEROL;M-TOLUIDINE;Glycerol;m-Methylaniline;;
4581;GLYCEROL;Salicylaldehyde;Glycerol;Salicylaldehyde;;
4582;GLYCEROL;GUAIACOL;Glycerol;2-Methoxyphenol;;
4583;GLYCEROL;ETHYLAL;Glycerol;Diethoxymethane;;
4584;GLYCEROL;CARBON_DIOXIDE;Glycerol;Carbon dioxide;;
4585;GLYCEROL;BENZOTHIAZOLE;Glycerol;Benzothiazole;;
4586;GLYCEROL;DIETHYL_CARBONATE;Glycerol;Carbonic acid diethyl ester;;
4587;GLYCEROL;ETHYLENE_CARBONATE;Glycerol;Ethylene carbonate;;
4588;GLYCEROL;ETHYL-DODECANOATE;Glycerol;Dodecanoic acid ethyl ester;;
4589;GLYCEROL;ETHYL-HEXADECANOATE;Glycerol;Hexadecanoic acid ethyl ester;;
4594;GLYCEROL;GLYCEROL-TRICAPRYLATE;Glycerol;Octanoic acid, 1,2,3-propanetriyl ester;;
4600;ACETIC_ANHYDRIDE;CIS-DECAHYDRONAPHTHALENE;Acetic anhydride;cis-Decahydronaphthalene;;
4601;ACETIC_ANHYDRIDE;CYCLOHEXYLBENZENE;Acetic anhydride;Phenylcyclohexane;;
4604;N-BUTYRIC_ACID;BIS(CYANOETHYL)ETHER;Butyric acid;3,3'-Oxybispropionitrile;;
4606;PROPANE;N-HEXADECANOIC_ACID;Propane;Palmitic acid;;
4607;PROPANE;OLEIC_ACID;Propane;Oleic acid;;
4608;PROPANE;N-OCTADECANOIC_ACID;Propane;Stearic acid;;
4609;PROPANE;N-METHYL-2-PYRROLIDONE;Propane;N-Methyl-2-pyrrolidone;;
4610;PROPANE;ABIETIC_ACID;Propane;Abietic acid;;
4611;PROPANE;SULFOLANE;Propane;Sulfolane;;
4613;PROPANE;PHENANTHRENE;Propane;Phenanthrene;;
4614;PROPANE;CARBON_TETRAFLUORIDE;Propane;Tetrafluoromethane [R14];;
4617;PROPANE;CARBON_MONOXIDE;Propane;Carbon monoxide;;
4618;PROPANE;TRIFLUOROMETHANE;Propane;Fluoroform [R23];;
4619;PROPANE;DIFLUOROMETHANE;Propane;Difluoromethane [R32];;
4620;PROPANE;HEXAFLUOROETHANE;Propane;Hexafluoroethane [R116];;
4621;PROPANE;4-FORMYLMORPHOLINE;Propane;N-Formylmorpholine;;
4622;PROPANE;OCTAFLUOROPROPANE;Propane;Perfluoropropane [R218];;
4623;PROPANE;GLYCERYL_TRIACETATE;Propane;1,2,3-Propanetriol-triacetate;;
4624;PROPANE;DECAFLUOROBUTANE;Propane;Perfluorobutane;;
4638;N-PROPYL_ACETATE;1,3-PROPYLENE_GLYCOL;Propyl acetate;1,3-Propanediol;;
4640;N-HEXADECANOIC_ACID;FORMAMIDE;Palmitic acid;Formamide;;
4641;N-HEXADECANOIC_ACID;SUCCINIC_ACID;Palmitic acid;Succinic acid;;
4644;OLEIC_ACID;CARBON_DIOXIDE;Oleic acid;Carbon dioxide;;
4645;OLEIC_ACID;2-PHENYLETHANOL;Oleic acid;2-Phenylethanol;;
4646;OLEIC_ACID;1,1,1,2-TETRAFLUOROETHANE;Oleic acid;1,1,1,2-Tetrafluoroethane [R134a];;
4649;CHLORODIFLUOROMETHANE;GAMMA-BUTYROLACTONE;Chlorodifluoromethane [R22];gamma-Butyrolactone;;
4650;CHLORODIFLUOROMETHANE;CARBON_TETRAFLUORIDE;Chlorodifluoromethane [R22];Tetrafluoromethane [R14];;
4651;CHLORODIFLUOROMETHANE;TETRAETHYLENE_GLYCOL_DIMETHYL_ETHER;Chlorodifluoromethane [R22];Tetraethylene glycol dimethyl ether;;
4652;HEXAFLUOROPROPYLENE;GAMMA-BUTYROLACTONE;Perfluoropropylene;gamma-Butyrolactone;;
4653;EPSILON-CAPROLACTAM;N-NONANE;epsilon-Caprolactam;Nonane;;
4654;CYCLOHEXANOL;CARBON_DIOXIDE;Cyclohexanol;Carbon dioxide;;
4655;CYCLOHEXANOL;ETHYLENE_CARBONATE;Cyclohexanol;Ethylene carbonate;;
4657;Hexadecanoic_acid_methyl_ester;SUCCINIC_ACID;Methyl palmitate;Succinic acid;;
4658;Hexadecanoic_acid_methyl_ester;GLUTARIC_ACID;Methyl palmitate;1,5-Pentanedioic acid;;
4659;Hexadecanoic_acid_methyl_ester;ADIPIC_ACID;Methyl palmitate;Adipic acid;;
4663;2-NITROPROPANE;N-NONANE;2-Nitropropane;Nonane;;
4664;1-PENTENE;TRIETHYLENE_GLYCOL;1-Pentene;Triethylene glycol;;
4665;1-PENTENE;3-METHOXYPROPIONITRILE;1-Pentene;3-Methoxy propionitrile;;
4672;TRIBROMOMETHANE;CARBON_DIOXIDE;Tribromomethane [R20B3];Carbon dioxide;;
4684;2-METHYL-1-BUTENE;3-METHOXYPROPIONITRILE;2-Methyl-1-butene;3-Methoxy propionitrile;;
4685;N-OCTADECANOIC_ACID;SUCCINIC_ACID;Stearic acid;Succinic acid;;
4686;N-OCTADECANOIC_ACID;GLUTARIC_ACID;Stearic acid;1,5-Pentanedioic acid;;
4689;2-ETHOXYETHANOL;N-HEXADECANE;2-Ethoxyethanol;Hexadecane;;
4690;FURFURYL_ALCOHOL;1-DECENE;Furfuryl alcohol;1-Decene;;
4691;FURFURYL_ALCOHOL;N-HEXADECANE;Furfuryl alcohol;Hexadecane;;
4692;FURFURYL_ALCOHOL;CARBON_DIOXIDE;Furfuryl alcohol;Carbon dioxide;;
4693;2,4-XYLENOL;1-HEPTANOL;2,4-Dimethylphenol;1-Heptanol;;
4694;3,5-XYLENOL;O-XYLENE;3,5-Dimethylphenol;o-Xylene;;
4695;3,5-XYLENOL;1-HEPTANOL;3,5-Dimethylphenol;1-Heptanol;;
4696;3,5-XYLENOL;N-PENTYL_ACETATE;3,5-Dimethylphenol;Amyl acetate;;
4697;3,5-XYLENOL;IODOBENZENE;3,5-Dimethylphenol;Iodobenzene;;
4698;1,2-PROPYLENE_GLYCOL;O-XYLENE;1,2-Propanediol;o-Xylene;;
4700;1,2-PROPYLENE_GLYCOL;DI-N-BUTYL_PHTHALATE;1,2-Propanediol;Phthalic acid dibutyl ester;;
4703;1,2-PROPYLENE_GLYCOL;O-DICHLOROBENZENE;1,2-Propanediol;o-Dichlorobenzene;;
4704;1,2-PROPYLENE_GLYCOL;CARBON_DIOXIDE;1,2-Propanediol;Carbon dioxide;;
4705;1,2-PROPYLENE_GLYCOL;Urea;1,2-Propanediol;Urea;;
4717;THIOPHENE;TRIETHYLENE_GLYCOL;Thiophene;Triethylene glycol;;
4718;THIOPHENE;DIETHYLENE_GLYCOL;Thiophene;Diethylene glycol;;
4719;THIOPHENE;MONOETHANOLAMINE;Thiophene;Monoethanolamine;;
4720;THIOPHENE;DIETHANOLAMINE;Thiophene;2,2'-Diethanolamine (DEA);;
4721;THIOPHENE;TRIETHANOLAMINE;Thiophene;Triethanolamine (TEA);;
4783;N-METHYL-2-PYRROLIDONE;ISOBUTANE;N-Methyl-2-pyrrolidone;2-Methylpropane;;
4784;N-METHYL-2-PYRROLIDONE;2,3-DIMETHYLBUTANE;N-Methyl-2-pyrrolidone;2,3-Dimethylbutane;;
4785;N-METHYL-2-PYRROLIDONE;2,2-DIMETHYLBUTANE;N-Methyl-2-pyrrolidone;2,2-Dimethylbutane;;
4786;N-METHYL-2-PYRROLIDONE;CYCLOHEPTANE;N-Methyl-2-pyrrolidone;Cycloheptane;;
4787;N-METHYL-2-PYRROLIDONE;CYCLOOCTANE;N-Methyl-2-pyrrolidone;Cyclooctane;;
4788;N-METHYL-2-PYRROLIDONE;N-TRIDECANE;N-Methyl-2-pyrrolidone;Tridecane;;
4789;N-METHYL-2-PYRROLIDONE;N-NONANE;N-Methyl-2-pyrrolidone;Nonane;;
4790;N-METHYL-2-PYRROLIDONE;TRANS-2-BUTENE;N-Methyl-2-pyrrolidone;trans-2-Butene;;
4791;N-METHYL-2-PYRROLIDONE;CIS-2-BUTENE;N-Methyl-2-pyrrolidone;cis-2-Butene;;
4792;N-METHYL-2-PYRROLIDONE;N-HEXADECANE;N-Methyl-2-pyrrolidone;Hexadecane;;
4793;N-METHYL-2-PYRROLIDONE;N-HEPTADECANE;N-Methyl-2-pyrrolidone;Heptadecane;;
4794;N-METHYL-2-PYRROLIDONE;1-HEPTENE;N-Methyl-2-pyrrolidone;1-Heptene;;
4795;N-METHYL-2-PYRROLIDONE;N-UNDECANE;N-Methyl-2-pyrrolidone;n-Undecane;;
4802;METHYL_FORMATE;CYCLOHEPTANE;Methyl formate;Cycloheptane;;
4803;METHYL_FORMATE;CYCLOOCTANE;Methyl formate;Cyclooctane;;
4804;METHYL_FORMATE;N-NONANE;Methyl formate;Nonane;;
4805;METHYL_FORMATE;2,3,4-TRIMETHYLPENTANE;Methyl formate;2,3,4-Trimethyl pentane;;
4806;METHYL_FORMATE;TRANS-2-OCTENE;Methyl formate;trans-2-Octene;;
4807;METHYL_FORMATE;TRANS-3-OCTENE;Methyl formate;trans-3-Octene;;
4808;METHYL_FORMATE;TRANS-4-OCTENE;Methyl formate;trans-4-Octene;;
4809;METHYL_FORMATE;2,2-DIMETHYLHEXANE;Methyl formate;2,2-Dimethylhexane;;
4810;METHYL_FORMATE;2,2,4-TRIMETHYLHEXANE;Methyl formate;2,2,4-Trimethylhexane;;
4812;1-HEXANOL;SULFOLANE;1-Hexanol;Sulfolane;;
4813;1-HEXANOL;CARBON_DIOXIDE;1-Hexanol;Carbon dioxide;;
4815;1-HEXANOL;ETHYLENE_CARBONATE;1-Hexanol;Ethylene carbonate;;
4860;2,3-DIMETHYLPENTANE;Perfluorotributylamine;2,3-Dimethylpentane;Perfluorotributylamine;;
4861;ISOBUTYRIC_ACID;BIS(CYANOETHYL)ETHER;2-Methylpropanoic acid;3,3'-Oxybispropionitrile;;
4862;ISOBUTYRIC_ACID;SUCCINONITRILE;2-Methylpropanoic acid;1,2-Dicyanoethane;;
4868;CIS-DECAHYDRONAPHTHALENE;P-PHENETIDINE;cis-Decahydronaphthalene;p-Phenetidine;;
4869;CIS-DECAHYDRONAPHTHALENE;CARBON_TETRAFLUORIDE;cis-Decahydronaphthalene;Tetrafluoromethane [R14];;
4870;CIS-DECAHYDRONAPHTHALENE;CARBON_DIOXIDE;cis-Decahydronaphthalene;Carbon dioxide;;
4871;CIS-DECAHYDRONAPHTHALENE;TRIFLUOROMETHANE;cis-Decahydronaphthalene;Fluoroform [R23];;
4876;ISOBUTANE;PHENANTHRENE;2-Methylpropane;Phenanthrene;;
4877;ISOBUTANE;CARBON_TETRAFLUORIDE;2-Methylpropane;Tetrafluoromethane [R14];;
4879;ISOBUTANE;OCTAFLUOROPROPANE;2-Methylpropane;Perfluoropropane [R218];;
4880;ISOBUTANE;DIBENZOTHIOPHENE;2-Methylpropane;Dibenzothiophene;;
4881;ISOBUTANE;1,1,1,2-TETRAFLUOROETHANE;2-Methylpropane;1,1,1,2-Tetrafluoroethane [R134a];;
4883;O-XYLENE;TRIETHYLENE_GLYCOL;o-Xylene;Triethylene glycol;;
4884;O-XYLENE;DIETHYLENE_GLYCOL;o-Xylene;Diethylene glycol;;
4885;O-XYLENE;1,4-BUTANEDIOL;o-Xylene;1,4-Butanediol;;
4886;O-XYLENE;2,2'-Dicyano_diethyl_sulfide;o-Xylene;2,2'-Dicyano diethyl sulfide;;
4887;O-XYLENE;1,3-BUTANEDIOL;o-Xylene;1,3-Butanediol;;
4888;O-XYLENE;M-DICHLOROBENZENE;o-Xylene;m-Dichlorobenzene;;
4890;O-XYLENE;M-DIBROMOBENZENE;o-Xylene;m-Dibromobenzene;;
4891;O-XYLENE;ETHYLENE_CARBONATE;o-Xylene;Ethylene carbonate;;
4928;N-PENTANOIC_ACID;BIS(CYANOETHYL)ETHER;Pentanoic acid;3,3'-Oxybispropionitrile;;
4929;N-METHYLANILINE;N-HEXADECANE;N-Methylaniline;Hexadecane;;
4930;N-METHYLANILINE;CARBON_DIOXIDE;N-Methylaniline;Carbon dioxide;;
4931;PROPIONITRILE;Perfluorooxacyclononane;Propionitrile;Perfluorooxacyclononane;;
4932;PROPIONITRILE;N-HEXADECANE;Propionitrile;Hexadecane;;
4933;PROPIONITRILE;N-OCTYLAMINE;Propionitrile;1-Octanamine;;
4934;PROPIONITRILE;N-DECYLAMINE;Propionitrile;N-Decylamine;;
4935;1-NONENE;DIETHYLENE_GLYCOL;1-Nonene;Diethylene glycol;;
4943;DI-N-PROPYL_ETHER;Perfluorohexane;Di-n-propyl ether;Perfluorohexane;;
4945;DI-N-PROPYL_ETHER;N-Methylimidazole;Di-n-propyl ether;N-Methylimidazole;;
4951;N-BUTYL_ETHYL_ETHER;Perfluorohexane;Ethyl butyl ether;Perfluorohexane;;
4952;N-BUTYL_ETHYL_ETHER;Perfluoro-n-octane;Ethyl butyl ether;Perfluoro-n-octane;;
4954;1-HEPTANOL;CARBON_DIOXIDE;1-Heptanol;Carbon dioxide;;
4955;1-HEPTANOL;3,4-XYLENOL;1-Heptanol;3,4-Dimethylphenol;;
4971;1-OCTANOL;SULFOLANE;1-Octanol;Sulfolane;;
4972;1-OCTANOL;CARBON_DIOXIDE;1-Octanol;Carbon dioxide;;
4973;1-OCTANOL;ETHANE;1-Octanol;Ethane;;
4974;1-OCTANOL;ACETYLENE;1-Octanol;Ethyne;;
5038;1-DECANOL;SULFOLANE;1-Decanol;Sulfolane;;
5039;1-DECANOL;CARBON_DIOXIDE;1-Decanol;Carbon dioxide;;
5040;1-DECANOL;ETHANE;1-Decanol;Ethane;;
5041;1-DECANOL;ACETYLENE;1-Decanol;Ethyne;;
5069;N-DODECANOIC_ACID;CARBON_DIOXIDE;Lauric acid;Carbon dioxide;;
5070;Octadecanoic_acid_methyl_ester;SUCCINIC_ACID;Methyl stearate;Succinic acid;;
5071;Octadecanoic_acid_methyl_ester;GLUTARIC_ACID;Methyl stearate;1,5-Pentanedioic acid;;
5072;Octadecanoic_acid_methyl_ester;ADIPIC_ACID;Methyl stearate;Adipic acid;;
5073;CUMENE;FORMAMIDE;Isopropylbenzene;Formamide;;
5081;1-DECENE;DIETHYLENE_GLYCOL;1-Decene;Diethylene glycol;;
5082;1-DECENE;PROPYLENE_CARBONATE;1-Decene;Propylene carbonate;;
5083;3-METHYL-1-BUTENE;3-METHOXYPROPIONITRILE;3-Methyl-1-butene;3-Methoxy propionitrile;;
5086;N-PROPYLBENZENE;TRIFLUOROMETHANE;Propylbenzene;Fluoroform [R23];;
5087;N-PROPYLBENZENE;ETHYLENE_CARBONATE;Propylbenzene;Ethylene carbonate;;
5106;2,2-DIMETHYLBUTANE;SULFOLANE;2,2-Dimethylbutane;Sulfolane;;
5108;ACETOPHENONE;N-HEXADECANE;Acetophenone;Hexadecane;;
5109;ACETOPHENONE;FORMAMIDE;Acetophenone;Formamide;;
5110;ISOBUTYL_ACETATE;2-METHACRYLAMIDE;Isobutyl acetate;2-Methyl propenoic acid amide <Methacrylamide>;;
5111;MALEIC_ANHYDRIDE;CARBON_DIOXIDE;Maleic anhydride;Carbon dioxide;;
5113;2-ETHYL-1-HEXANOL;CARBON_DIOXIDE;2-Ethyl-1-hexanol;Carbon dioxide;;
5129;CYCLOOCTANE;SULFOLANE;Cyclooctane;Sulfolane;;
5131;CYCLOOCTANE;PHENYLACETONITRILE;Cyclooctane;Benzylcyanide;;
5132;CYCLOOCTANE;4-FORMYLMORPHOLINE;Cyclooctane;N-Formylmorpholine;;
5137;N-TRIDECANE;DIMETHYL_CARBONATE;Tridecane;Carbonic acid dimethyl ester;;
5138;N-TRIDECANE;SULFOLANE;Tridecane;Sulfolane;;
5139;N-TRIDECANE;GAMMA-BUTYROLACTONE;Tridecane;gamma-Butyrolactone;;
5140;N-TRIDECANE;CARBON_DIOXIDE;Tridecane;Carbon dioxide;;
5142;N-TRIDECANE;N-Methylcaprolactam;Tridecane;N-Methylcaprolactam;;
5146;P-DIISOPROPYLBENZENE;SULFOLANE;1,4-Diisopropylbenzene;Sulfolane;;
5147;Perfluorooxacyclononane;1-HEPTENE;Perfluorooxacyclononane;1-Heptene;;
5148;N-NONANE;DIMETHYL_CARBONATE;Nonane;Carbonic acid dimethyl ester;;
5149;N-NONANE;DIETHYLENE_GLYCOL;Nonane;Diethylene glycol;;
5150;N-NONANE;Perfluorohexane;Nonane;Perfluorohexane;;
5151;N-NONANE;SULFOLANE;Nonane;Sulfolane;;
5152;N-NONANE;O-TOLUIDINE;Nonane;o-Methylaniline;;
5154;N-NONANE;Salicylaldehyde;Nonane;Salicylaldehyde;;
5156;N-NONANE;PHENYLACETONITRILE;Nonane;Benzylcyanide;;
5157;N-NONANE;TRIFLUOROMETHANE;Nonane;Fluoroform [R23];;
5158;N-NONANE;DIETHYL_MALEATE;Nonane;Diethyl maleate;;
5159;N-NONANE;4-FORMYLMORPHOLINE;Nonane;N-Formylmorpholine;;
5160;N-NONANE;DIMETHYL-ADIPATE;Nonane;Dimethyl adipate;;
5163;N-NONANE;SULFUR_DIOXIDE;Nonane;Sulfur dioxide;;
5164;N-NONANE;N-Methylcaprolactam;Nonane;N-Methylcaprolactam;;
5165;N-NONANE;TETRAETHYLENE_GLYCOL_DIMETHYL_ETHER;Nonane;Tetraethylene glycol dimethyl ether;;
5166;N-NONANE;ETHYL_LACTATE;Nonane;Ethyl lactate;;
5167;N-NONANE;DECAFLUOROBUTANE;Nonane;Perfluorobutane;;
5168;N-NONANE;Perfluorodecalin;Nonane;Perfluorodecalin <Isomer not specified>;;
5171;N-NONANE;Perfluoro-n-octane;Nonane;Perfluoro-n-octane;;
5182;ETHYLCYCLOHEXANE;TRIETHYLENE_GLYCOL;Ethylcyclohexane;Triethylene glycol;;
5183;ETHYLCYCLOHEXANE;SULFOLANE;Ethylcyclohexane;Sulfolane;;
5184;ETHYLCYCLOHEXANE;4-FORMYLMORPHOLINE;Ethylcyclohexane;N-Formylmorpholine;;
5185;ETHYLCYCLOHEXANE;N-Methylcaprolactam;Ethylcyclohexane;N-Methylcaprolactam;;
5187;DIPROPYLENE_GLYCOL;CARBON_DIOXIDE;Dipropylene glycol;Carbon dioxide;;
5188;DIPROPYLENE_GLYCOL;Urea;Dipropylene glycol;Urea;;
5189;N-PENTYL_ACETATE;3,4-XYLENOL;Amyl acetate;3,4-Dimethylphenol;;
5191;Hexamethyl_disiloxane;Perfluorohexane;Hexamethyl disiloxane;Perfluorohexane;;
5192;QUINOLINE;N-HEXADECANE;Quinoline;Hexadecane;;
5195;CYCLOHEXYLBENZENE;CARBON_DIOXIDE;Phenylcyclohexane;Carbon dioxide;;
5197;2,4-Dichlorophenol;CARBON_DIOXIDE;2,4-Dichlorophenol;Carbon dioxide;;
5198;TRIETHYLENE_GLYCOL;N-HEXADECANE;Triethylene glycol;Hexadecane;;
5199;TRIETHYLENE_GLYCOL;1-HEXADECANOL;Triethylene glycol;1-Hexadecanol;;
5201;TRIETHYLENE_GLYCOL;1-N-HEXYLNAPHTHALENE;Triethylene glycol;1-Hexyl naphthalene;;
5202;TRIETHYLENE_GLYCOL;CARBON_DIOXIDE;Triethylene glycol;Carbon dioxide;;
5203;TRIETHYLENE_GLYCOL;2-METHYLHEPTANE;Triethylene glycol;2-Methylheptane;;
5204;TRIETHYLENE_GLYCOL;N-DODECYLBENZENE;Triethylene glycol;1-Phenyldodecane;;
5205;TRIETHYLENE_GLYCOL;N-BUTYLCYCLOHEXANE;Triethylene glycol;n-Butylcyclohexane;;
5210;CHLOROTRIFLUOROMETHANE;1-DODECANOL;Chlorotrifluoromethane [R13];1-Dodecanol;;
5211;CHLOROTRIFLUOROMETHANE;TRIFLUOROMETHANE;Chlorotrifluoromethane [R13];Fluoroform [R23];;
5212;CHLOROTRIFLUOROMETHANE;DIFLUOROMETHANE;Chlorotrifluoromethane [R13];Difluoromethane [R32];;
5213;DIMETHYL_CARBONATE;N-EICOSANE;Carbonic acid dimethyl ester;Eicosane;;
5214;DIMETHYL_CARBONATE;N-HEXADECANE;Carbonic acid dimethyl ester;Hexadecane;;
5215;DIMETHYL_CARBONATE;N-HEPTADECANE;Carbonic acid dimethyl ester;Heptadecane;;
5216;DIMETHYL_CARBONATE;N-DOCOSANE;Carbonic acid dimethyl ester;Docosane;;
5217;DIMETHYL_CARBONATE;N-UNDECANE;Carbonic acid dimethyl ester;n-Undecane;;
5218;DIMETHYL_CARBONATE;N-PENTADECANE;Carbonic acid dimethyl ester;Pentadecane;;
5219;DIMETHYL_CARBONATE;CARBON_DIOXIDE;Carbonic acid dimethyl ester;Carbon dioxide;;
5220;DIMETHYL_CARBONATE;N-OCTADECANE;Carbonic acid dimethyl ester;Octadecane;;
5222;DIMETHYL_CARBONATE;N-TETRACOSANE;Carbonic acid dimethyl ester;Tetracosane;;
5223;DIMETHYL_CARBONATE;N-HEXACOSANE;Carbonic acid dimethyl ester;Hexacosane;;
5231;2-(2-ETHOXYETHOXY)ETHANOL;N-HEXADECANE;Diethylene glycol ethyl ether;Hexadecane;;
5232;DIETHYLENE_GLYCOL;BIPHENYL;Diethylene glycol;Biphenyl;;
5233;DIETHYLENE_GLYCOL;DIPHENYL_ETHER;Diethylene glycol;Diphenyl ether;;
5235;DIETHYLENE_GLYCOL;N-HEXADECANE;Diethylene glycol;Hexadecane;;
5238;DIETHYLENE_GLYCOL;1-ETHYLNAPHTHALENE;Diethylene glycol;1-Ethylnaphthalene;;
5240;DIETHYLENE_GLYCOL;DI-N-HEXYL_ETHER;Diethylene glycol;Dihexyl ether;;
5241;DIETHYLENE_GLYCOL;1-N-HEXYLNAPHTHALENE;Diethylene glycol;1-Hexyl naphthalene;;
5242;DIETHYLENE_GLYCOL;BENZOTHIOPHENE;Diethylene glycol;Benzo(b)thiophene;;
5243;DIETHYLENE_GLYCOL;CARBON_DIOXIDE;Diethylene glycol;Carbon dioxide;;
5244;DIETHYLENE_GLYCOL;ETHANE;Diethylene glycol;Ethane;;
5245;DIETHYLENE_GLYCOL;DIBENZYL_ETHER;Diethylene glycol;Dibenzyl ether;;
5246;DIETHYLENE_GLYCOL;N-DODECYLBENZENE;Diethylene glycol;1-Phenyldodecane;;
5247;DIETHYLENE_GLYCOL;N-BUTYLCYCLOHEXANE;Diethylene glycol;n-Butylcyclohexane;;
5248;DIETHYLENE_GLYCOL;2,6-DI-TERT-BUTYL-P-CRESOL;Diethylene glycol;2,6-Di-tert.butyl-4-methylphenol;;
5251;DIETHYLENE_GLYCOL;N-OCTADECYLBENZENE;Diethylene glycol;1-Phenyloctadecane;;
5257;Perfluorohexane;HYDROGEN_SULFIDE;Perfluorohexane;Hydrogen sulfide;;
5263;NEOPENTANE;CARBON_TETRAFLUORIDE;2,2-Dimethylpropane;Tetrafluoromethane [R14];;
5264;BIPHENYL;SUCCINIC_ACID;Biphenyl;Succinic acid;;
5265;BIPHENYL;GLUTARIC_ACID;Biphenyl;1,5-Pentanedioic acid;;
5267;DIPHENYLMETHANE;CARBON_DIOXIDE;Diphenylmethane;Carbon dioxide;;
